Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
134eed4e-ccc7-4c2a-ad63-2322b6d06c20,"2020-07-04, 01:03:06 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:264312323152:trail/Udacity_Trail""}]",,us-east-1,,86.120.252.175
918cf725-75b3-4779-83a4-8a8561bd9776,"2020-07-04, 01:03:06 PM",CloudTrail,PutInsightSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:264312323152:trail/Udacity_Trail""}]",,us-east-1,,86.120.252.175
c655c374-369e-4c78-8fb8-ffae86a8f492,"2020-07-04, 01:03:06 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,86.120.252.175
43be0eb7-c4f9-4b62-bd1b-23ca22710117,"2020-07-04, 01:03:05 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""trailbuckemoga""}]",,us-east-1,,86.120.252.175
7191bd0c-a041-4ba9-adef-8cc21214f027,"2020-07-04, 01:03:05 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:264312323152:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""trailbuckemoga""}]",,us-east-1,,86.120.252.175
7d9760e1-81a5-4c5d-9aa8-0f9058d65a68,"2020-07-04, 01:03:05 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""trailbuckemoga""}]",,us-east-1,,86.120.252.175
ac1d7eb8-2137-48c8-ae02-c62576c070f7,"2020-07-04, 12:58:57 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,86.120.252.175
83986168-11fb-4ed2-8642-3943bd20cf9b,"2020-07-04, 12:58:53 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,86.120.252.175
f914731b-db6a-437f-a55f-8fa68a41e1db,"2020-07-04, 12:58:37 PM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
c249214f-9ee6-4d35-bd41-7332b84e8081,"2020-07-04, 12:58:18 PM",Accountant,ConsoleLogin,,,,us-east-1,,86.120.252.175
f9bf96f2-16ad-4757-bf4b-ef41f0712a15,"2020-07-04, 12:51:05 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
8738fc2b-3e9d-47d7-be89-126e07df1c58,"2020-07-04, 12:50:38 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,86.120.252.175
1c0b25c3-0934-4a31-a66f-f0fc4ef79a4c,"2020-07-04, 12:49:54 PM",root,ConsoleLogin,,,,us-east-1,,86.120.252.175
972418b3-062c-4a8b-8710-ad8290bca072,"2020-07-04, 11:48:35 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,86.120.252.175
75824994-6301-4b3c-99ee-4c8bc0b4583c,"2020-07-04, 11:48:34 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,86.120.252.175
f9aecfb4-bce6-4960-8e03-6f3b3173cb9a,"2020-07-04, 11:48:34 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::264312323152:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAT3CR57RIPWYBSA5CU""}]",,us-east-1,,86.120.252.175
95d8056f-deb1-4b42-877d-1b53fbf97da9,"2020-07-04, 11:47:56 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,86.120.252.175
4b9074e9-7d5e-4b02-ba2f-32df154075d5,"2020-07-04, 11:47:55 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::264312323152:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAT3CR57RIFM764T2NA""}]",,us-east-1,,86.120.252.175
d05cec56-d1ce-476f-b60e-ed637cd43f11,"2020-07-04, 11:47:55 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,86.120.252.175
4f04d550-028d-47a0-9596-c820cb749809,"2020-07-04, 11:46:27 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,86.120.252.175
bc8cb543-9aa6-4447-8a09-49094bffc7ca,"2020-07-04, 11:46:27 AM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::264312323152:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAT3CR57RINYPDGGLOC""}]",,us-east-1,,86.120.252.175
26b946c4-36eb-4549-b35f-5425500f0b63,"2020-07-04, 11:45:59 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,86.120.252.175
599cd5c2-5c16-438f-a33c-23819c5ef812,"2020-07-04, 11:45:59 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,86.120.252.175
9c910d62-1019-4977-809c-3e241f3dbceb,"2020-07-04, 11:45:59 AM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAT3CR57RIBCMBGOGIG""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::264312323152:group/CloudTrailAdmins""}]",,us-east-1,,86.120.252.175
699dde22-02ee-4449-94d4-e5886efc067f,"2020-07-04, 11:41:38 AM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,86.120.252.175
22445e8e-9418-42c1-86c5-5b0ec5f81711,"2020-07-04, 11:40:53 AM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,86.120.252.175
3c9bab86-91d4-4da8-a9a9-95514336d510,"2020-07-04, 11:38:25 AM",root,ConsoleLogin,,,,us-east-1,,86.120.252.175
